Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
California (Pac-12),0,4,75.1,428,1.06,4.8,46.1,762,1940,39.3,780,65.6,682,1319,40,1097,33.2,6.7,67,8.1,632,36.9,513,180,35.1,321,403,-2.5,69.7,374,11.33,945,28.64
Seton Hall (Big East),0,6,74.8,447,0.98,4.7,45,790,1971,40.1,787,66.6,616,1321,40,1185,35.9,4.1,67.8,7.1,573,35.3,652,206,31.6,450,457,-0.2,75.8,425,12.88,896,27.15
Hampton (MEAC),0,16,74.8,377,0.87,3.8,41.5,794,1874,42.4,805,65.7,638,1291,41.6,1132,36.5,5.1,73.8,0.9,659,30.8,615,203,33,388,433,-1.5,67.7,438,14.13,853,27.52
Michigan (Big Ten),0,11,74.3,509,1.53,2.2,46.6,844,1896,44.5,548,73.7,530,1089,32,1122,33,-1,67.5,6.8,849,38.4,695,240,34.5,406,333,2.1,64.7,267,7.85,822,24.18
Providence (Big East),1,9,74,525,1.38,3.6,42.2,850,1956,43.5,744,72.7,558,1207,36.6,1215,36.8,-0.2,69.7,4.2,729,32.1,658,211,32.1,482,380,3.1,69.7,385,11.67,822,24.91
UConn (AAC),1,9,73.4,471,1.25,5,45.9,737,1931,38.2,581,78.7,612,1242,36.5,1164,34.2,2.3,63.1,10.3,660,36.2,709,232,32.7,415,378,1.1,70.6,322,9.47,920,27.06
Wichita St. (MVC),1,11,73.2,459,1.44,3.7,43.4,602,1565,38.5,710,71.4,646,1199,37.5,1051,32.8,4.6,59.3,14,710,33,577,187,32.4,495,318,5.5,75,373,11.66,826,25.81
Dayton (Atlantic 10),0,7,73.2,470,1.12,4.4,46,740,1829,40.5,730,67.3,610,1237,38.7,1065,33.3,5.4,65.8,7.4,620,34.7,671,234,34.9,398,418,-0.6,78.1,317,9.91,920,28.75
Cincinnati (AAC),0,9,73.2,495,1.4,5.8,42.8,722,1849,39,645,70.4,500,1260,39.4,1107,34.6,4.8,62.9,10.3,701,34.5,648,231,35.6,444,354,2.8,68.8,432,13.5,828,25.88
CSU Bakersfield (WAC),0,15,73,501,1.28,5.1,45.1,668,1708,39.1,712,65.3,687,1226,38.3,1097,34.3,4,63.2,9.8,506,34.4,585,187,32,490,391,3.1,75,401,12.53,825,25.78
NIU (MAC),1,11,72.7,469,1.12,3.5,42.8,733,1825,40.2,765,68.5,667,1295,39.2,1148,34.8,4.5,67.1,5.6,666,35.1,753,259,34.4,472,420,1.6,63.6,405,12.27,890,26.97
Middle Tenn. (CUSA),1,15,72.7,431,1.08,3.5,45.1,767,1799,42.6,689,61.7,674,1220,37,1146,34.7,2.2,68.3,4.4,673,38.6,620,213,34.4,445,399,1.4,72.7,341,10.33,879,26.64
